geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00175586,3,0.19695668843730815,0.0,0.9743853810915303,-16.6391143842121,-7.3119456627074575,1238.4368776870258,825560.5101241551
E00175585,12,0.5161696402683229,0.2646476508945731,0.21609128156916912,-17.43938332980993,-7.496646028167194,15798.130705123776,1545494.310086317
E00175584,11,-0.043095671373305944,0.8442792722429137,0.7329499893824301,-16.04896482179374,-7.302400995231461,2588.5892049455388,4456080.72128132
E00175589,8,-0.9314240156584827,0.6906047488432534,0.921725828089357,-16.43260158398621,-7.3715948113013745,2787.95749260354,667419.6321814045
E00175588,10,0.90203566028293,0.551831455350762,0.7693983068606691,-16.464137041576436,-7.427330004889714,12819.655557396378,915558.2260393912
E00042556,8,0.17846321423212325,0.1761996589889313,0.2767995085461194,-17.677137218452884,-7.256126980049722,8516.634422400411,872573.4962901822
E00042557,10,0.5147271726812463,0.0,0.0,-17.740110724324627,-7.2852169815274355,5841.560603700287,645726.0284357412
E00042554,10,0.9034580672924615,0.5054297899237687,0.22785239800649515,-17.21874002829381,-7.329313513789494,4094.9365073572967,1304350.6643556934
E00042555,8,-0.09393583024544142,0.10811877011651634,0.18158969262684566,-16.438208837432985,-6.949269636852859,3715.376586772637,1243447.4128950248
E00042552,10,0.9413726800620443,0.5710378191469754,0.4711482525419713,-16.693826020332693,-7.507014477338329,5862.477578857868,1194030.47851634
E00042553,8,0.21471542904354135,0.13009983906434597,0.18158969262684566,-16.735110912115875,-7.19238986148534,4364.601612352929,1276364.595686806
E00042550,8,0.21471542904354135,0.13009983906434597,0.18158969262684566,-16.898894728958663,-7.37917693119135,4620.135116875553,1418757.254883554
E00042558,7,0.19451535881229953,0.0,0.007069464738048037,-17.445094851452506,-6.975203285295234,5923.388487519775,732899.2482922162
E00042559,10,0.9131931752164776,0.0,0.0,-17.24476086099478,-6.947847872210349,7721.096934832378,695347.418592341
E00042461,11,-0.2681289443728804,0.1944184561693464,0.97628403608892,-16.814102983888905,-7.602048337586665,12792.677596497508,2780646.1028463966
E00042466,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.092075413382947,-7.544551923287405,15669.505496271297,2577021.130093678
E00042467,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.19941496857966,-7.54534894053388,17753.693209082845,1484364.4832916074
E00042464,10,0.6129213303101864,0.33719462973398096,0.2203427789500671,-15.688363483982286,-7.626774776609281,13229.667888893058,2383908.8016948327
E00042465,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.60999276183404,-7.526722162256061,12674.06533365816,1454786.6193628912
E00042462,11,0.8614417975789905,0.10316697688029611,0.97628403608892,-16.88265191945018,-7.530803466710324,13174.72791206301,2950018.610339129
E00042463,11,1.0,0.3893455839566642,0.8902055218474711,-16.31983390172656,-7.597800117283562,13047.362087042826,2504665.2072882177
E00042460,11,0.4747369858557235,0.45974557255504933,0.7452783340892232,-16.86065737857533,-7.900722160398477,11402.01576907101,2775525.2225084812
E00042468,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-15.958638346777661,-7.51530916241034,27149.793968980106,2755737.4884324693
E00042469,11,0.14562502180449943,0.3142816842635219,0.9682133373742097,-16.191344386935807,-7.331530571808536,25222.48911469416,2478369.381688418
